"year","canton","sex","marital_status","population"
2021,"Basel-Landschaft","Male","Divorced, unmarried, partnership dissolved legally",10500
2021,"Basel-Landschaft","Female","Single",56399
2021,"Basel-Landschaft","Female","Married, in a registered partnership",65122
2021,"Basel-Landschaft","Female","Widowed, partnership dissolved through death",12464
2021,"Basel-Landschaft","Female","Divorced, unmarried, partnership dissolved legally",15190
2021,"Schaffhausen","Male","Single",18896
2021,"Schaffhausen","Male","Married, in a registered partnership",18605
2021,"Schaffhausen","Male","Widowed, partnership dissolved through death",897
2021,"Schaffhausen","Male","Divorced, unmarried, partnership dissolved legally",3206
2021,"Schaffhausen","Female","Single",16061
2021,"Schaffhausen","Female","Married, in a registered partnership",18234
2021,"Schaffhausen","Female","Widowed, partnership dissolved through death",3618
2021,"Schaffhausen","Female","Divorced, unmarried, partnership dissolved legally",4471
2021,"Appenzell Ausserrhoden","Male","Single",12984
2021,"Appenzell Ausserrhoden","Male","Married, in a registered partnership",12157
2021,"Appenzell Ausserrhoden","Male","Widowed, partnership dissolved through death",556
2021,"Appenzell Ausserrhoden","Male","Divorced, unmarried, partnership dissolved legally",2296
2021,"Appenzell Ausserrhoden","Female","Single",10801
2021,"Appenzell Ausserrhoden","Female","Married, in a registered partnership",11896
2021,"Appenzell Ausserrhoden","Female","Widowed, partnership dissolved through death",2208
2021,"Appenzell Ausserrhoden","Female","Divorced, unmarried, partnership dissolved legally",2687
2021,"Appenzell Innerrhoden","Male","Single",4125
2021,"Appenzell Innerrhoden","Male","Married, in a registered partnership",3582
2021,"Appenzell Innerrhoden","Male","Widowed, partnership dissolved through death",162
2021,"Appenzell Innerrhoden","Male","Divorced, unmarried, partnership dissolved legally",520
2021,"Appenzell Innerrhoden","Female","Single",3262
2021,"Appenzell Innerrhoden","Female","Married, in a registered partnership",3477
2021,"Appenzell Innerrhoden","Female","Widowed, partnership dissolved through death",693
2021,"Appenzell Innerrhoden","Female","Divorced, unmarried, partnership dissolved legally",539
2021,"St. Gallen","Male","Single",123805
2021,"St. Gallen","Male","Married, in a registered partnership",113095
2021,"St. Gallen","Male","Widowed, partnership dissolved through death",4911
2021,"St. Gallen","Male","Divorced, unmarried, partnership dissolved legally",18824
2021,"St. Gallen","Female","Single",103840
2021,"St. Gallen","Female","Married, in a registered partnership",110504
2021,"St. Gallen","Female","Widowed, partnership dissolved through death",19385
2021,"St. Gallen","Female","Divorced, unmarried, partnership dissolved legally",24841
2021,"Graubünden / Grigioni / Grischun","Male","Single",46431
2021,"Graubünden / Grigioni / Grischun","Male","Married, in a registered partnership",44537
2021,"Graubünden / Grigioni / Grischun","Male","Widowed, partnership dissolved through death",2234
2021,"Graubünden / Grigioni / Grischun","Male","Divorced, unmarried, partnership dissolved legally",7840
2021,"Graubünden / Grigioni / Grischun","Female","Single",39752
2021,"Graubünden / Grigioni / Grischun","Female","Married, in a registered partnership",42652
2021,"Graubünden / Grigioni / Grischun","Female","Widowed, partnership dissolved through death",8506
2021,"Graubünden / Grigioni / Grischun","Female","Divorced, unmarried, partnership dissolved legally",9418
2021,"Aargau","Male","Single",164418
2021,"Aargau","Male","Married, in a registered partnership",156553
2021,"Aargau","Male","Widowed, partnership dissolved through death",6609
2021,"Aargau","Male","Divorced, unmarried, partnership dissolved legally",25820
2021,"Aargau","Female","Single",139282
2021,"Aargau","Female","Married, in a registered partnership",152751
2021,"Aargau","Female","Widowed, partnership dissolved through death",24312
2021,"Aargau","Female","Divorced, unmarried, partnership dissolved legally",33279
2021,"Thurgau","Male","Single",66525
2021,"Thurgau","Male","Married, in a registered partnership",63673
2021,"Thurgau","Male","Widowed, partnership dissolved through death",2652
2021,"Thurgau","Male","Divorced, unmarried, partnership dissolved legally",11292
2021,"Thurgau","Female","Single",55661
2021,"Thurgau","Female","Married, in a registered partnership",62087
2021,"Thurgau","Female","Widowed, partnership dissolved through death",10126
2021,"Thurgau","Female","Divorced, unmarried, partnership dissolved legally",13938
2021,"Ticino","Male","Single",79774
2021,"Ticino","Male","Married, in a registered partnership",74553
2021,"Ticino","Male","Widowed, partnership dissolved through death",3867
2021,"Ticino","Male","Divorced, unmarried, partnership dissolved legally",13250
2021,"Ticino","Female","Single",71586
2021,"Ticino","Female","Married, in a registered partnership",72736
2021,"Ticino","Female","Widowed, partnership dissolved through death",17440
2021,"Ticino","Female","Divorced, unmarried, partnership dissolved legally",18966
2021,"Vaud","Male","Single",208630
2021,"Vaud","Male","Married, in a registered partnership",159043
2021,"Vaud","Male","Widowed, partnership dissolved through death",6310
2021,"Vaud","Male","Divorced, unmarried, partnership dissolved legally",30270
2021,"Vaud","Female","Single",190384
2021,"Vaud","Female","Married, in a registered partnership",156451
2021,"Vaud","Female","Widowed, partnership dissolved through death",27656
2021,"Vaud","Female","Divorced, unmarried, partnership dissolved legally",44131
2021,"Valais / Wallis","Male","Single",82150
2021,"Valais / Wallis","Male","Married, in a registered partnership",75192
2021,"Valais / Wallis","Male","Widowed, partnership dissolved through death",3616
2021,"Valais / Wallis","Male","Divorced, unmarried, partnership dissolved legally",14497
2021,"Valais / Wallis","Female","Single",72182
2021,"Valais / Wallis","Female","Married, in a registered partnership",73097
2021,"Valais / Wallis","Female","Widowed, partnership dissolved through death",14930
2021,"Valais / Wallis","Female","Divorced, unmarried, partnership dissolved legally",17503
2021,"Neuchâtel","Male","Single",43105
2021,"Neuchâtel","Male","Married, in a registered partnership",33465
2021,"Neuchâtel","Male","Widowed, partnership dissolved through death",1786
2021,"Neuchâtel","Male","Divorced, unmarried, partnership dissolved legally",8032
2021,"Neuchâtel","Female","Single",37968
2021,"Neuchâtel","Female","Married, in a registered partnership",33090
2021,"Neuchâtel","Female","Widowed, partnership dissolved through death",7518
2021,"Neuchâtel","Female","Divorced, unmarried, partnership dissolved legally",11196
2021,"Genève","Male","Single",127317
2021,"Genève","Male","Married, in a registered partnership",96071
2021,"Genève","Male","Widowed, partnership dissolved through death",3692
2021,"Genève","Male","Divorced, unmarried, partnership dissolved legally",19817
2021,"Genève","Female","Single",121886
2021,"Genève","Female","Married, in a registered partnership",93515
2021,"Genève","Female","Widowed, partnership dissolved through death",16422
2021,"Genève","Female","Divorced, unmarried, partnership dissolved legally",30691
2021,"Jura","Male","Single",17619
2021,"Jura","Male","Married, in a registered partnership",14979
2021,"Jura","Male","Widowed, partnership dissolved through death",833
2021,"Jura","Male","Divorced, unmarried, partnership dissolved legally",3087
2021,"Jura","Female","Single",15034
2021,"Jura","Female","Married, in a registered partnership",14821
2021,"Jura","Female","Widowed, partnership dissolved through death",3568
2021,"Jura","Female","Divorced, unmarried, partnership dissolved legally",3848
2022,"Switzerland","Male","Single",2141428
2022,"Switzerland","Male","Married, in a registered partnership",1824072
